,City,Date,Country,Cloudiness,Max_temp,Pressure,Humidity,lng,lat,wind_speed
0,Rabo de Peixe,2021-10-22 02:03:38,PT,20,60.31,1028,88,-25.5833,37.8,4.61
1,Busselton,2021-10-22 02:03:38,AU,10,62.04,1025,51,115.3333,-33.65,2.68
2,Lorengau,2021-10-22 02:03:38,PG,100,78.94,1012,83,147.2712,-2.0226,5.64
3,Alyangula,2021-10-22 02:03:39,AU,8,86.97,1011,56,136.4192,-13.8483,7.14
4,Vaini,2021-10-22 02:03:39,TO,75,78.96,1019,78,-175.2,-21.2,10.36
5,Leningradskiy,2021-10-22 02:03:40,RU,84,9.03,997,86,178.4167,69.3833,13.13
6,Margate,2021-10-22 02:03:40,GB,0,45.7,1018,73,1.3862,51.3813,18.99
7,Saint-Philippe,2021-10-22 02:03:41,RE,1,71.19,1017,75,55.7679,-21.3585,6.22
8,Guerrero Negro,2021-10-22 01:58:53,MX,0,68.16,1015,79,-114.0611,27.9769,12.41
9,Namatanai,2021-10-22 02:03:41,PG,99,83.88,1011,70,152.4333,-3.6667,5.44
10,Sur,2021-10-22 02:03:42,OM,0,78.71,1012,59,59.5289,22.5667,6.76
11,Longyan,2021-10-22 02:00:35,CN,100,57.04,1023,93,117.0225,25.1072,4.27
12,Kapaa,2021-10-22 02:03:42,US,3,82.38,1017,73,-159.319,22.0752,1.99
13,Klaksvík,2021-10-22 02:03:43,FO,96,40.12,1006,62,-6.589,62.2266,27.72
14,Chapais,2021-10-22 02:02:44,CA,100,38.98,1008,97,-74.8492,49.7834,4.5
15,Rikitea,2021-10-22 02:03:43,PF,60,73.89,1017,81,-134.9692,-23.1203,23.82
16,Atuona,2021-10-22 02:03:44,PF,13,77.95,1012,78,-139.0333,-9.8,18.23
17,Heihe,2021-10-22 02:03:44,CN,12,43.38,1021,42,127.4902,50.2441,5.64
18,Lüderitz,2021-10-22 02:03:45,NA,15,55.2,1015,88,15.1594,-26.6481,8.12
19,Hobart,2021-10-22 02:00:03,AU,75,67.26,1011,71,147.3294,-42.8794,5.01
20,Saint Paul Harbor,2021-10-22 02:03:45,US,100,37.99,989,72,-152.4072,57.79,9.24
21,Yellowknife,2021-10-22 02:03:46,CA,6,43.41,1015,82,-114.3525,62.456,13.0
22,Nikolskoye,2021-10-22 02:03:46,RU,97,51.03,976,65,30.7861,59.7035,20.27
23,Butaritari,2021-10-22 02:03:47,KI,16,82.72,1010,71,172.7902,3.0707,12.12
24,Puerto Ayora,2021-10-22 02:01:54,EC,78,70.11,1015,88,-90.3518,-0.7393,7.56
25,Bethel,2021-10-22 02:03:47,US,1,64.76,1011,89,-73.414,41.3712,6.91
26,São João da Barra,2021-10-22 02:03:48,BR,74,67.05,1017,75,-41.0511,-21.6403,3.47
27,Maciel,2021-10-22 02:03:48,AR,0,71.98,1007,48,-60.8874,-32.4557,7.7
28,Beringovskiy,2021-10-22 02:03:49,RU,100,18.82,994,86,179.3167,63.05,14.05
29,Sitka,2021-10-22 02:03:49,US,75,55.29,990,54,-135.33,57.0531,16.11
30,Naze,2021-10-22 02:03:49,JP,100,67.41,1018,70,129.4833,28.3667,19.46
31,Lompoc,2021-10-22 01:59:44,US,20,64.11,1018,89,-120.4579,34.6391,6.91
32,Upernavik,2021-10-22 02:03:50,GL,100,21.99,1014,93,-56.1549,72.7868,9.35
33,Chokurdakh,2021-10-22 02:03:50,RU,49,-11.58,1008,95,147.9167,70.6333,3.47
34,Talnakh,2021-10-22 02:03:51,RU,99,22.24,1001,97,88.3972,69.4865,3.67
35,Torbay,2021-10-22 02:03:19,CA,7,45.75,1012,81,-52.7314,47.6666,3.0
36,Kaitangata,2021-10-22 02:03:51,NZ,0,58.62,1031,62,169.8464,-46.2817,10.76
37,Solnechnyy,2021-10-22 02:03:52,RU,74,37.89,1017,65,136.6319,50.7214,0.81
38,Albany,2021-10-22 02:02:13,US,9,63.01,1006,74,-73.9662,42.6001,1.99
39,Bandarbeyla,2021-10-22 02:03:52,SO,79,75.29,1014,87,50.8122,9.4942,4.97
40,Cape Town,2021-10-22 02:03:05,ZA,100,61.09,1009,74,18.4232,-33.9258,5.99
41,Palmer,2021-10-22 02:03:53,US,20,62.28,1011,76,-72.3287,42.1584,1.99
42,Lata,2021-10-22 02:03:53,PT,4,57.81,1021,96,-8.3327,40.1629,3.36
43,Porto Santo,2021-10-22 02:03:54,PT,40,69.71,1023,73,-16.3415,33.072,12.66
44,Ailigandí,2021-10-22 02:03:54,PA,11,79.45,1013,85,-78.0167,9.2333,6.58
45,Punta Arenas,2021-10-22 02:02:30,CL,60,42.12,1013,71,-70.9167,-53.15,16.35
46,Mandalī,2021-10-22 02:03:55,IQ,0,68.74,1014,29,45.5541,33.7499,4.09
47,Villa Carlos Paz,2021-10-22 02:03:56,AR,0,71.24,1012,41,-64.4978,-31.4241,3.65
48,Bredasdorp,2021-10-22 02:03:56,ZA,100,61.29,1005,80,20.0403,-34.5322,8.75
49,Iqaluit,2021-10-22 02:03:56,CA,90,29.93,1021,92,-68.5145,63.7506,11.99
50,Russell,2021-10-22 02:03:57,US,1,68.97,1018,91,-85.1999,32.3502,4.61
51,Ngunguru,2021-10-22 02:03:57,NZ,100,61.16,1027,92,174.5,-35.6167,22.7
52,Tuktoyaktuk,2021-10-22 02:03:58,CA,11,27.34,996,86,-133.0374,69.4541,8.16
53,Grande Prairie,2021-10-22 02:03:58,CA,26,44.69,1009,69,-118.8027,55.1667,11.72
54,Lebu,2021-10-22 02:03:58,CL,0,49.57,1023,74,-73.65,-37.6167,15.66
55,Hervey Bay,2021-10-22 02:03:59,AU,24,75.18,1015,75,152.8535,-25.2986,14.7
56,Grindavik,2021-10-22 02:03:59,IS,90,39.67,1008,60,-22.4338,63.8424,8.05
57,Lanigan,2021-10-22 02:04:00,CA,80,36.27,1021,38,-105.0344,51.8501,12.62
58,Rio Rancho,2021-10-22 02:02:18,US,1,64.35,1022,23,-106.6645,35.2334,1.01
59,Kiryat Gat,2021-10-22 02:04:00,IL,2,67.41,1018,100,34.7642,31.61,2.93
60,Souillac,2021-10-22 02:04:01,MU,40,74.35,1016,88,57.5167,-20.5167,9.22
61,Hermanus,2021-10-22 01:59:08,ZA,100,62.8,1006,71,19.2345,-34.4187,13.42
62,Sola,2021-10-22 02:04:02,VU,86,81.21,1013,69,167.55,-13.8833,2.15
63,Makkah al Mukarramah,2021-10-22 02:02:34,SA,92,78.98,1011,41,39.8261,21.4267,3.62
64,Ponta do Sol,2021-10-22 02:04:02,PT,50,70.43,1024,64,-17.1,32.6667,5.06
65,Balkhash,2021-10-22 02:04:03,KZ,0,32.61,1026,86,74.9804,46.844,13.42
66,New Norfolk,2021-10-22 02:04:03,AU,100,66.92,1014,63,147.0587,-42.7826,1.99
67,Kloulklubed,2021-10-22 02:04:04,PW,25,86.5,1011,70,134.2556,7.0419,7.4
68,Khani,2021-10-22 02:04:04,GE,0,45.97,1024,54,42.9566,41.9563,7.7
69,Jamestown,2021-10-22 02:02:24,US,90,58.59,1008,89,-79.2353,42.097,8.01
70,Tura,2021-10-22 02:04:05,IN,5,70.88,1014,79,90.2201,25.5198,1.57
71,Kruisfontein,2021-10-22 02:04:05,ZA,100,60.89,1003,92,24.7314,-34.0033,4.72
72,Barrow,2021-10-22 02:04:06,US,90,28.42,996,86,-156.7887,71.2906,10.36
73,Palana,2021-10-22 02:04:06,RU,55,22.64,1006,80,159.9667,59.1167,7.18
74,Kumul,2021-10-22 02:04:07,CN,0,58.39,1017,21,93.45,42.8,3.8
75,Bāgeshwar,2021-10-22 02:04:07,IN,1,62.58,1014,74,79.7667,29.85,1.54
76,Avarua,2021-10-22 02:04:07,CK,90,77.05,1014,61,-159.775,-21.2078,9.22
77,Zhangaözen,2021-10-22 02:04:08,KZ,16,43.25,1028,81,52.8,43.3,9.8
78,Pahrump,2021-10-22 02:04:08,US,97,70.25,986,24,-115.9839,36.2083,1.01
79,Chodavaram,2021-10-22 02:04:09,IN,100,79.27,1013,82,82.95,17.8333,2.01
80,Esperance,2021-10-22 02:04:09,AU,100,60.22,1024,59,121.9,-33.8667,14.36
81,Vardø,2021-10-22 02:04:09,NO,100,35.64,993,56,31.1107,70.3705,28.16
82,Aklavik,2021-10-22 02:04:10,CA,39,25.7,995,84,-135.0107,68.2191,12.91
83,Mataura,2021-10-22 02:04:10,NZ,0,68.9,1030,34,168.8643,-46.1927,1.32
84,Thompson,2021-10-22 01:59:21,CA,90,30.36,1026,93,-97.8558,55.7435,8.05
85,Burnie,2021-10-22 02:04:10,AU,100,58.95,1016,93,145.9167,-41.0667,10.71
86,Lincoln,2021-10-22 02:01:26,US,93,46.29,1021,79,-96.667,40.8,1.01
87,Grand Gaube,2021-10-22 02:04:11,MU,69,74.37,1016,78,57.6608,-20.0064,7.0
88,Mayumba,2021-10-22 02:04:12,GA,99,75.94,1011,90,10.6554,-3.432,7.25
89,George Town,2021-10-22 02:04:12,MY,20,84.13,1013,77,100.3354,5.4112,1.99
90,Vostok,2021-10-22 02:04:12,RU,98,34.07,1019,70,135.8833,46.4856,5.95
91,Mana,2021-10-22 02:04:13,GF,100,79.32,1012,87,-53.7767,5.6592,9.62
92,Vilhena,2021-10-22 02:04:13,BR,74,72.41,1011,90,-60.1458,-12.7406,1.99
93,Bambous Virieux,2021-10-22 02:04:14,MU,40,74.21,1016,88,57.7575,-20.3428,9.22
94,Bilibino,2021-10-22 02:04:14,RU,100,1.65,1007,94,166.4372,68.0546,3.2
95,Am Timan,2021-10-22 02:04:14,TD,100,74.64,1011,82,20.2827,11.0297,4.68
96,Hofn,2021-10-22 02:04:15,IS,54,32.43,1013,62,-15.2082,64.2539,11.61
97,Isangel,2021-10-22 02:04:15,VU,100,78.69,1015,76,169.2667,-19.55,6.17
98,Kommunisticheskiy,2021-10-22 02:04:16,RU,100,29.91,996,70,64.4819,61.6789,8.68
99,Mount Gambier,2021-10-22 02:04:16,AU,100,67.12,1013,52,140.7667,-37.8333,6.71
100,Hasaki,2021-10-22 02:04:17,JP,100,54.0,1015,86,140.8333,35.7333,18.05
101,Srednekolymsk,2021-10-22 02:04:17,RU,72,1.72,1009,88,153.6833,67.45,3.83
102,Saskylakh,2021-10-22 02:04:18,RU,97,-1.32,1008,100,114.0833,71.9167,3.13
103,Fortuna,2021-10-22 02:04:18,US,90,65.43,1010,75,-124.1573,40.5982,4.0
104,Saryozek,2021-10-22 02:04:18,KZ,100,34.56,1031,97,77.9753,44.3583,6.58
105,Faya,2021-10-22 02:04:19,SA,83,55.92,1020,31,42.4509,18.3851,6.29
106,Coahuayana Viejo,2021-10-22 02:04:19,MX,46,79.65,1012,88,-103.6833,18.7333,0.29
107,Taltal,2021-10-22 02:00:25,CL,24,58.91,1017,74,-70.4833,-25.4,2.91
108,Bueno Brandão,2021-10-22 02:00:44,BR,0,53.98,1016,88,-46.3508,-22.4408,3.69
109,Saldanha,2021-10-22 02:04:20,ZA,100,59.52,1009,79,17.9442,-33.0117,19.15
110,Qaanaaq,2021-10-22 02:04:21,GL,0,-0.06,1018,74,-69.3632,77.484,8.19
111,Kashary,2021-10-22 02:04:21,RU,94,47.26,1015,92,41.0056,49.04,14.79
112,Nelson Bay,2021-10-22 02:04:21,AU,34,76.75,1014,71,152.15,-32.7167,5.01
113,Sfântu Gheorghe,2021-10-22 02:04:22,RO,48,52.27,1016,69,25.7833,45.8667,2.33
114,Ushuaia,2021-10-22 02:04:22,AR,75,38.86,1007,81,-68.3,-54.8,5.75
115,Natitingou,2021-10-22 02:04:23,BJ,8,73.81,1010,80,1.3796,10.3042,2.24
116,Port Alfred,2021-10-22 02:04:23,ZA,100,64.94,1005,83,26.891,-33.5906,1.43
117,Cabo San Lucas,2021-10-22 02:03:21,MX,1,80.62,894,80,-109.9124,22.8909,5.01
118,Hachinohe,2021-10-22 02:04:24,JP,7,57.81,1018,45,141.5,40.5,2.64
119,Beyneu,2021-10-22 02:04:24,KZ,77,43.29,1027,51,55.2,45.3167,12.24
120,Chui,2021-10-22 02:04:25,UY,0,54.5,1016,89,-53.4616,-33.6971,5.37
121,Bonavista,2021-10-22 02:04:26,CA,41,46.11,1013,75,-53.1147,48.6499,20.6
122,Cascais,2021-10-22 02:04:26,PT,0,62.47,1022,70,-9.4215,38.6979,5.01
123,Cayenne,2021-10-22 02:00:06,GF,20,82.09,1012,84,-52.3333,4.9333,3.0
124,Weligama,2021-10-22 02:04:27,LK,25,81.1,1013,79,80.4167,5.9667,5.79
125,Saint-Pierre,2021-10-22 02:04:27,RE,0,71.28,1015,65,55.4781,-21.3393,6.91
126,Mar del Plata,2021-10-22 02:04:28,AR,90,64.42,1013,77,-57.5575,-38.0023,11.5
127,Trairi,2021-10-22 02:03:55,BR,100,79.45,1011,81,-39.2689,-3.2778,9.26
128,Jiwani,2021-10-22 02:04:28,PK,0,78.24,1013,76,61.7417,25.05,4.07
129,Pisco,2021-10-22 02:04:29,PE,0,61.02,1016,82,-76.2167,-13.7,12.66
130,El Carmen,2021-10-22 02:04:29,CO,10,66.81,1014,97,-73.4478,8.5106,3.98
131,Lucapa,2021-10-22 02:04:30,AO,100,65.48,1012,99,20.7447,-8.4192,2.37
132,Yulara,2021-10-22 02:04:30,AU,0,91.24,1014,14,130.9889,-25.2406,5.75
133,Port Elizabeth,2021-10-22 02:04:30,ZA,20,63.1,1003,94,25.5701,-33.918,4.61
134,Provideniya,2021-10-22 02:04:31,RU,90,30.31,990,64,-173.3,64.3833,8.95
135,Husavik,2021-10-22 02:04:31,IS,100,30.07,1013,77,-17.3389,66.0449,7.81
136,Vindeby,2021-10-22 02:04:32,DK,100,46.33,1000,76,10.6131,55.0449,23.73
137,San Patricio,2021-10-22 02:04:32,US,15,78.84,1018,66,-97.5169,28.017,7.61
138,Clyde River,2021-10-22 02:04:32,CA,37,19.4,1020,83,-68.5914,70.4692,6.31
139,Carnarvon,2021-10-22 02:04:33,AU,0,75.27,1020,46,113.6333,-24.8667,18.41
140,Bluff,2021-10-22 02:04:33,NZ,1,53.33,1031,66,168.3333,-46.6,11.45
141,Berlevåg,2021-10-22 02:04:34,NO,100,34.97,994,59,29.0864,70.8578,24.4
142,Piaçabuçu,2021-10-22 02:04:34,BR,9,77.92,1013,89,-36.4344,-10.4056,10.27
143,Tasiilaq,2021-10-22 02:04:35,GL,99,35.76,1004,70,-37.6368,65.6145,5.66
144,Dikson,2021-10-22 02:04:35,RU,99,22.68,1005,74,80.5464,73.5069,9.78
145,Valdez,2021-10-22 02:04:35,EC,100,77.49,1014,84,-78.9831,1.2492,10.6
146,Norman Wells,2021-10-22 02:04:36,CA,6,30.94,1001,84,-126.8329,65.282,6.85
147,Jinka,2021-10-22 02:04:36,ET,70,62.4,1014,79,36.65,5.65,2.55
148,Severo-Kuril'sk,2021-10-22 02:04:36,RU,99,39.7,1014,65,156.125,50.6789,9.69
149,Havelock,2021-10-22 02:04:37,US,100,73.94,1019,81,-76.9013,34.8791,3.0
150,Kautokeino,2021-10-22 02:04:37,NO,100,26.69,989,96,23.0412,69.0125,21.05
151,Teguise,2021-10-22 02:04:37,ES,35,68.22,1019,83,-13.564,29.0605,4.61
152,Viedma,2021-10-22 02:00:29,AR,41,50.4,1015,69,-62.9967,-40.8135,11.14
153,Goderich,2021-10-22 02:00:09,CA,100,51.91,1009,88,-81.7165,43.7501,22.66
154,Hithadhoo,2021-10-22 02:04:38,MV,97,81.81,1013,73,73.0833,-0.6,7.47
155,Piancó,2021-10-22 02:04:38,BR,99,81.34,1012,62,-37.9292,-7.1981,11.27
156,Nanortalik,2021-10-22 02:04:38,GL,100,42.01,991,57,-45.2371,60.1432,10.74
157,Inírida,2021-10-22 02:04:39,CO,100,73.27,1013,99,-67.9239,3.8653,3.4
158,Arraial do Cabo,2021-10-22 02:04:39,BR,97,66.79,1017,68,-42.0278,-22.9661,5.97
159,Vila Velha,2021-10-22 02:00:33,BR,96,68.45,1017,83,-40.2925,-20.3297,7.34
160,Hong Kong,2021-10-22 02:04:40,HK,100,68.25,1020,81,114.1577,22.2855,1.01
161,Vila Franca do Campo,2021-10-22 02:04:40,PT,99,61.21,1028,74,-25.4333,37.7167,4.65
162,Ternate,2021-10-22 02:04:40,ID,100,84.18,1011,70,127.4,0.8,2.35
163,Kununurra,2021-10-22 02:04:41,AU,95,94.98,1010,59,128.7333,-15.7667,4.61
164,Baykit,2021-10-22 02:04:41,RU,100,35.53,1011,86,96.37,61.67,3.2
165,Hilo,2021-10-22 02:03:31,US,4,79.29,1016,78,-155.09,19.7297,3.0
166,Caravelas,2021-10-22 02:04:42,BR,100,72.7,1015,89,-39.2481,-17.7125,9.35
167,Tuatapere,2021-10-22 02:04:42,NZ,0,63.32,1030,46,167.6833,-46.1333,5.32
168,Kahului,2021-10-22 02:04:42,US,40,82.42,1015,73,-156.47,20.8947,19.57
169,Tiksi,2021-10-22 02:04:43,RU,100,8.69,1005,93,128.8694,71.6872,8.59
170,Port Hedland,2021-10-22 02:00:05,AU,0,95.05,1013,13,118.5667,-20.3167,18.41
171,Bengkulu,2021-10-22 02:04:43,ID,100,79.38,1014,81,102.2655,-3.8004,0.67
172,Khatanga,2021-10-22 02:04:44,RU,98,-4.36,1006,100,102.5,71.9667,4.61
173,Port Said,2021-10-22 02:04:44,EG,37,73.71,1019,60,32.2841,31.2565,10.98
174,Te Anau,2021-10-22 02:04:45,NZ,14,62.35,1029,51,167.7167,-45.4167,2.35
175,Bījār,2021-10-22 02:04:45,IR,0,36.93,1027,84,47.6051,35.8668,3.69
176,Rafrāf,2021-10-22 02:04:45,TN,100,68.31,1015,64,10.1837,37.1904,7.38
177,Katsuura,2021-10-22 02:04:46,JP,100,55.42,1015,90,140.3,35.1333,16.82
178,Vuktyl,2021-10-22 02:04:46,RU,100,30.15,988,95,57.3094,63.8567,11.21
179,Mt. Pleasant,2021-10-22 01:59:52,US,1,72.0,1019,85,-79.8626,32.7941,3.0
180,Meulaboh,2021-10-22 02:04:47,ID,82,78.84,1013,86,96.1285,4.1363,3.06
181,San Cristobal,2021-10-22 02:04:47,VE,41,68.18,1017,98,-72.225,7.7669,1.92
